original,tok_sent,drug_roa_phrase,roa_detail_1,roa_detail_2,roa_detail_3
"Suspension (Oral Drops) 
Raspberry/Grapes Flavor",suspension oral drops raspberry grapes flavor,,,,
Suspension (Oral Drops) Raspberry and Grape Flavor,suspension oral drops raspberry and grape flavor,,,,
Powder For I.V. Infusion,powder for iv infusion,for iv infusion,['iv'],['infusion'],
Suspension for Injection(I.M.),suspension for injectionim,for injectionim,[],[],
Solution For Injection. (IM/IV),solution for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Contorlled-Release Tablet,contorlled-release tablet,,,,
Granuled For Oral Suspension,granuled for oral suspension,for oral suspension,['oral'],['suspension'],suspension
Syrup (Orange flavor),syrup orange flavor,,,,
Syrup (Alcohol Free),syrup alcohol free,,,,
Granules for Suspension (Strawberry Flavor),granules for suspension strawberry flavor,for suspension strawberry flavor,[],['suspension'],suspension
Powder for Injection (I.M./I/V/),powder for injection im i v,for injection im i v,['im'],['injection'],
Granules Of Suspension,granules of suspension,,,,
Powder for Injection  (IM/IV),powder for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Lyophilized Powder for Injection (IM.IV),lyophilized powder for injection imiv,for injection imiv,[],['injection'],
Powder For Injection Iv,powder for injection iv,for injection iv,['iv'],['injection'],
Syrup (Oral Drops) (equivalent to 27.50 mg / mL Zinc Sulfate Monohydrate),syrup oral drops equivalent to mg ml zinc sulfate monohydrate,,,,
Suspension For Injection(I.M.),suspension for injectionim,for injectionim,[],[],
Rotacap,rotacap,,,,
Metered Dose Inhaler Suspension,metered dose inhaler suspension,,,,
Solution For Injection Im/Iv Infusion/Sc,solution for injection im iv infusion sc,for injection im iv infusion sc,"['im', 'sc', 'iv']","['infusion', 'injection']",
Solution for Injection IM / IV / SC,solution for injection im iv sc,for injection im iv sc,"['im', 'sc', 'iv']",['injection'],
Sterile Powder For Injection IM / IV Infusion,sterile powder for injection im iv infusion,for injection im iv infusion,"['im', 'iv']","['infusion', 'injection']",
Sterile Powder for Injection (I.M./I.V. Infusion),sterile powder for injection im iv infusion,for injection im iv infusion,"['im', 'iv']","['infusion', 'injection']",
Lyphilized Powder For Injection (I.V.),lyphilized powder for injection iv,for injection iv,['iv'],['injection'],
LYOPHILIZED POWDER FOR INJECTION,lyophilized powder for injection,for injection,[],['injection'],
Power for Injection,power for injection,for injection,[],['injection'],
Forte Capsule,forte capsule,,,,
Sterile Powder for Injection (IV),sterile powder for injection iv,for injection iv,['iv'],['injection'],
Sterile Powder for Injection I.V.,sterile powder for injection iv,for injection iv,['iv'],['injection'],
Prolobged-Release Capsule,prolobged-release capsule,,,,
Fowder fo injection (IM/IV),fowder fo injection im iv,,,,
Powder For Solution For Injection,powder for solution for injection,for solution for injection,[],['injection'],solution
Sterile Powder For Injection (I.M/I.V.),sterile powder for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Solution For Nasal Drops,solution for nasal drops,for nasal drops,['nasal'],[],drops
Sterile Powder For Injection (Im/ Iv),sterile powder for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Per Actuation Metered Dose Inhaler,per actuation metered dose inhaler,,,,
Syrup (Cherrry flavor),syrup cherrry flavor,,,,
Powder for Oral Suspension (Oral Drops),powder for oral suspension oral drops,for oral suspension oral drops,['oral'],['suspension'],suspension
Sustained Released Tablet,sustained released tablet,,,,
Solution  for Injection (I.M./I.V.),solution for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Ophthalmic/Otic Solution,ophthalmic otic solution,,,,
Solution For Intravenous Infusion For Injection,solution for intravenous infusion for injection,for intravenous infusion for injection,['intravenous'],"['injection', 'infusion']",
Solution For Intravenous For Injection,solution for intravenous for injection,for intravenous for injection,['intravenous'],['injection'],
Solution for Intravenous Infusion for Injection,solution for intravenous infusion for injection,for intravenous infusion for injection,['intravenous'],"['injection', 'infusion']",
Solution for Itravenous Infusion for Injection,solution for itravenous infusion for injection,for itravenous infusion for injection,[],"['injection', 'infusion']",
Powder for Injetion IM / IV,powder for injetion im iv,for injetion im iv,"['im', 'iv']",[],
Adult Solution,adult solution,,,,
Powder for Injection (I.M. /I.V.),powder for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
"Syrup (Sugar-Free, Orange Flavor)",syrup sugar-free orange flavor,,,,
Enteric Coated-Tablet,enteric coated-tablet,,,,
Sugar-Caoted Tablet,sugar-caoted tablet,,,,
Solution for Iv Injection (IV Infusion),solution for iv injection iv infusion,for iv injection iv infusion,['iv'],"['infusion', 'injection']",
Glass Infusion Bottle,glass infusion bottle,,,,
Lyopjilized Powder For Injection Intravenous Injection,lyopjilized powder for injection intravenous injection,for injection intravenous injection,['intravenous'],['injection'],
Solution for Inejction,solution for inejction,for inejction,[],[],
Solutionf Or Injection (Im/Iv),solutionf or injection im iv,,,,
Powder For Injection I.M./I.V.),powder for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
(See formulation at the back),see formulation at the back,,,,
Powder For Injection(IV),powder for injectioniv,for injectioniv,[],[],
Suspension (Honeydew Melon Flavor),suspension honeydew melon flavor,,,,
Film-caoted Tablet,film-caoted tablet,,,,
Solution for Injection (I.M/I.V.0),solution for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Solution for Injection (I.M/I.V.),solution for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Solution for Injection (I.M./Slow I.V.),solution for injection im slow iv,for injection im slow iv,"['im', 'iv']",['injection'],
"Solution for Injection 
(I.V./I.M./Slow I.V. Infusion)",solution for injection iv im slow iv infusion,for injection iv im slow iv infusion,"['im', 'iv']","['infusion', 'injection']",
Extended-Release Tablet (Equivalent to Divalproex Sodium),extended-release tablet equivalent to divalproex sodium,,,,
Solution For Injection (Im/Iv/Intrathecal),solution for injection im iv intrathecal,for injection im iv intrathecal,"['im', 'iv', 'intrathecal']",['injection'],
Solution For Injection (IM/IV/Intrathecal),solution for injection im iv intrathecal,for injection im iv intrathecal,"['im', 'iv', 'intrathecal']",['injection'],
Solution for nebulization,solution for nebulization,for nebulization,[],[],
Solution For Intramuscular Injrction,solution for intramuscular injrction,for intramuscular injrction,['intramuscular'],[],
IV Infusion,iv infusion,,,,
I.V. Infusion,iv infusion,,,,
Solution for Injection (Iv Infusion),solution for injection iv infusion,for injection iv infusion,['iv'],"['infusion', 'injection']",
Solution For Injection IM / IV,solution for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Solution For Injection Iv,solution for injection iv,for injection iv,['iv'],['injection'],
Injection for Injection (Iv),injection for injection iv,for injection iv,['iv'],['injection'],
Solution for Spinal Injection,solution for spinal injection,for spinal injection,['spinal'],['injection'],
Capsule (Enteric-Coated Pellets),capsule enteric-coated pellets,,,,
Solution For Injectin (IV Infusion),solution for injectin iv infusion,for injectin iv infusion,['iv'],['infusion'],
Solution for Infusion (IV. Infusion),solution for infusion iv infusion,for infusion iv infusion,['iv'],['infusion'],
Solution For Infusion (I.V. Infusion),solution for infusion iv infusion,for infusion iv infusion,['iv'],['infusion'],
Solution for Injection (iv),solution for injection iv,for injection iv,['iv'],['injection'],
Powder For Injection (IMIV),powder for injection imiv,for injection imiv,[],['injection'],
Solutin For Injection,solutin for injection,for injection,[],['injection'],
Powder For (IV),powder for iv,for iv,['iv'],[],
"Solution for Injection 
(for Dental Infiltration)",solution for injection for dental infiltration,for injection for dental infiltration,['dental'],['injection'],
"Lyophilized Powder For Injection
(I.V.)",lyophilized powder for injection iv,for injection iv,['iv'],['injection'],
Powder For Injection (Im / Iv),powder for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Film Cated Tablet,film cated tablet,,,,
Suspension For Oral Drops,suspension for oral drops,for oral drops,['oral'],[],drops
Suspension for Oral Drops,suspension for oral drops,for oral drops,['oral'],[],drops
Solution For Intravenous Injection (IV),solution for intravenous injection iv,for intravenous injection iv,"['intravenous', 'iv']",['injection'],
Oral Suspension (Alcohol-Free),oral suspension alcohol-free,,,,
Powder for Injection for Intravenous Infusion,powder for injection for intravenous infusion,for injection for intravenous infusion,['intravenous'],"['infusion', 'injection']",
Sol'N For Topical Aerosol Spray,soln for topical aerosol spray,for topical aerosol spray,['topical'],[],aerosol
Powder For Suspension (Cherry Flavor),powder for suspension cherry flavor,for suspension cherry flavor,[],['suspension'],suspension
Suspesnion,suspesnion,,,,
Solution For Injection (IM/IV/SC) or Infusion (IV),solution for injection im iv sc or infusion iv,for injection im iv sc or infusion iv,"['im', 'sc', 'iv']","['infusion', 'injection']",
Modified Release Film Coated Tablet,modified release film coated tablet,,,,
Lyophilizedpowder For Intravenous Infusion,lyophilizedpowder for intravenous infusion,for intravenous infusion,['intravenous'],['infusion'],
Extended Release Film Coated Tablet,extended release film coated tablet,,,,
Film- Coated Tblet,film- coated tblet,,,,
Solution For injection (Iv Infusion),solution for injection iv infusion,for injection iv infusion,['iv'],"['infusion', 'injection']",
Metered Dose Inhaler (CFC Free),metered dose inhaler cfc free,,,,
Sulotion for IV Infusion,sulotion for iv infusion,for iv infusion,['iv'],['infusion'],
Orodispersible tablet,orodispersible tablet,,,,
Oral Suspension (Drops),oral suspension drops,,,,
Lyophilized Powder For Injection (Iv/Im/Sc),lyophilized powder for injection iv im sc,for injection iv im sc,"['im', 'sc', 'iv']",['injection'],
Solution For Injection (IV/IV Infusion),solution for injection iv iv infusion,for injection iv iv infusion,['iv'],"['infusion', 'injection']",
Solution For Injection (Iv/Iv Infusion),solution for injection iv iv infusion,for injection iv iv infusion,['iv'],"['infusion', 'injection']",
Corticosteroid,corticosteroid,,,,
SOLUTION FOR I.V INFUSION,solution for iv infusion,for iv infusion,['iv'],['infusion'],
Powder For Injection  (IM/IV),powder for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Delayed Released Capsule,delayed released capsule,,,,
Powder For Injection( Iv),powder for injection iv,for injection iv,['iv'],['injection'],
Granules for suspension (Oral Drops),granules for suspension oral drops,for suspension oral drops,['oral'],['suspension'],suspension
Granules for Suspension (Oral drops),granules for suspension oral drops,for suspension oral drops,['oral'],['suspension'],suspension
Concentrated Solution For Inj. (IV Infusion),concentrated solution for inj iv infusion,for inj iv infusion,['iv'],"['infusion', 'inj']",
Concentrated Solution For I.V Infusion,concentrated solution for iv infusion,for iv infusion,['iv'],['infusion'],
"Suspension (Oral Drops, Lemon Flavor)",suspension oral drops lemon flavor,,,,
Suspension (Oral Drops) ( Lemon Flavor),suspension oral drops lemon flavor,,,,
Suspension (Oral Drops) (Lemon Flavor),suspension oral drops lemon flavor,,,,
ORODISPERSIBLE TABLET,orodispersible tablet,,,,
Lyophilized Powder for Injection(IM/IV),lyophilized powder for injectionim iv,for injectionim iv,['iv'],[],
solution for injection (submucosal),solution for injection submucosal,for injection submucosal,['submucosal'],['injection'],
Solution For Intravenous Iv Infusion,solution for intravenous iv infusion,for intravenous iv infusion,"['intravenous', 'iv']",['infusion'],
Lyophilized Powder fro Injection,lyophilized powder fro injection,,,,
Capsule (equivalent to 250 mg Ferrous Sulfate),capsule equivalent to mg ferrous sulfate,,,,
Lyophilized Powder For IV Injection/Infusion,lyophilized powder for iv injection infusion,for iv injection infusion,['iv'],"['infusion', 'injection']",
Emulsion For Injection (IV),emulsion for injection iv,for injection iv,['iv'],['injection'],
Powder For Injection(Im/Iv),powder for injectionim iv,for injectionim iv,['iv'],[],
Syrup (Menthol Flavor),syrup menthol flavor,,,,
Powder For Solution For Injection (I.V.),powder for solution for injection iv,for solution for injection iv,['iv'],['injection'],solution
Delayed-Release capsule,delayed-release capsule,,,,
Sterile Opthalmic Solution (Drops),sterile opthalmic solution drops,,,,
Powder For Solution For Injection (Iv Infusion),powder for solution for injection iv infusion,for solution for injection iv infusion,['iv'],"['infusion', 'injection']",solution
Powder For Solution For Injection (I.M./ I.V.),powder for solution for injection im iv,for solution for injection im iv,"['im', 'iv']",['injection'],solution
Powder for Solution for Injection (I.V./I.M.),powder for solution for injection iv im,for solution for injection iv im,"['im', 'iv']",['injection'],solution
"Solution For Injection (Im, Iv)",solution for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Lyophilized Powder For Injection (Im/Iv/Sc),lyophilized powder for injection im iv sc,for injection im iv sc,"['im', 'sc', 'iv']",['injection'],
Powder For Solution for Intravenous Infusion,powder for solution for intravenous infusion,for solution for intravenous infusion,['intravenous'],['infusion'],solution
sYrup,syrup,,,,
Solution For Injection (iv),solution for injection iv,for injection iv,['iv'],['injection'],
Powder For Solution For Injection Iv),powder for solution for injection iv,for solution for injection iv,['iv'],['injection'],solution
Powder for Solution for IV Injection,powder for solution for iv injection,for solution for iv injection,['iv'],['injection'],solution
Syrpu,syrpu,,,,
Powder For Infusion (IV),powder for infusion iv,for infusion iv,['iv'],['infusion'],
Lyophilized Powder for Inj,lyophilized powder for inj,for inj,[],['inj'],
Powder For Injection IV,powder for injection iv,for injection iv,['iv'],['injection'],
Solution For Injection(I.V),solution for injectioniv,for injectioniv,[],[],
Oral Suspension (Raspberry flavor),oral suspension raspberry flavor,,,,
Sustained- Released Tablet,sustained- released tablet,,,,
Solution For Injection (IV/SC/IT),solution for injection iv sc it,for injection iv sc it,"['sc', 'iv']",['injection'],
Lyophilized Powder for I.V Infusion,lyophilized powder for iv infusion,for iv infusion,['iv'],['infusion'],
Powder for solution for injection (IV),powder for solution for injection iv,for solution for injection iv,['iv'],['injection'],solution
Powder for Solution Injection (IV),powder for solution injection iv,for solution injection iv,['iv'],['injection'],solution
Powder For Solution for Injection (IV),powder for solution for injection iv,for solution for injection iv,['iv'],['injection'],solution
Powder For Soultion for Injection (IV),powder for soultion for injection iv,for soultion for injection iv,['iv'],['injection'],
Lyophylized Powder For Injection (IV Infusion),lyophylized powder for injection iv infusion,for injection iv infusion,['iv'],"['infusion', 'injection']",
Powder for I.V. Injection/Infusion,powder for iv injection infusion,for iv injection infusion,['iv'],"['infusion', 'injection']",
Delayed-release Capsule,delayed-release capsule,,,,
Solution For Injection (Im/Iv/Intra-Arterial/Intrathecal),solution for injection im iv intra-arterial intrathecal,for injection im iv intra-arterial intrathecal,"['arterial', 'iv', 'intra-arterial', 'intrathecal', 'im']",['injection'],
Solution for Diluent use only,solution for diluent use only,for diluent use only,[],[],
Solution For Diluent Use Only,solution for diluent use only,for diluent use only,[],[],
Suspension (Oral Drops) Banana Flavor,suspension oral drops banana flavor,,,,
Lozenge (Mint Flavor),lozenge mint flavor,,,,
Lyophilized Powder For IV Injection,lyophilized powder for iv injection,for iv injection,['iv'],['injection'],
SUSTAINED RELEASE TABLET,sustained release tablet,,,,
Powder For Solution For Intravenous Injection,powder for solution for intravenous injection,for solution for intravenous injection,['intravenous'],['injection'],solution
Powder for Inhalation in Capsule,powder for inhalation in capsule,for inhalation in capsule,[],['inhalation'],capsule
Solution for Topical Spray,solution for topical spray,for topical spray,['topical'],[],spray
Granules For Oral Suspension (Orange Flavor),granules for oral suspension orange flavor,for oral suspension orange flavor,['oral'],['suspension'],suspension
Granules For Suspension ( Orange Flavor),granules for suspension orange flavor,for suspension orange flavor,[],['suspension'],suspension
Solution for Injection (IV. Infusion),solution for injection iv infusion,for injection iv infusion,['iv'],"['infusion', 'injection']",
Powder for IV Injection/Infusion,powder for iv injection infusion,for iv injection infusion,['iv'],"['infusion', 'injection']",
Powder For Iv Injection/Infusion,powder for iv injection infusion,for iv injection infusion,['iv'],"['infusion', 'injection']",
Powder For Iv Injection/ Infusion,powder for iv injection infusion,for iv injection infusion,['iv'],"['infusion', 'injection']",
"Suspension for 
Nasal Spray",suspension for nasal spray,for nasal spray,['nasal'],[],spray
Suspension Of Nasal Spray,suspension of nasal spray,,,,
Emulsion For (Iv) Infusion,emulsion for iv infusion,for iv infusion,['iv'],['infusion'],
Lyophilized Powder for Injection (I.M./S.C. Use Only for Once a Month),lyophilized powder for injection im sc use only for once a month,for injection im sc use only for once a month,"['im', 'sc']",['injection'],
Lyophilized Powder for Injection (IM/SC Use Only for Once a Month),lyophilized powder for injection im sc use only for once a month,for injection im sc use only for once a month,"['im', 'sc']",['injection'],
Lyophilized Powder For Injection (IM/SC Use only for once a Month),lyophilized powder for injection im sc use only for once a month,for injection im sc use only for once a month,"['im', 'sc']",['injection'],
Suspension fo Nebulization,suspension fo nebulization,,,,
Enteric-coated Tablet,enteric-coated tablet,,,,
Granuels For Suspension,granuels for suspension,for suspension,[],['suspension'],suspension
Lyophilized Powder for Injection (IV/IM),lyophilized powder for injection iv im,for injection iv im,"['im', 'iv']",['injection'],
Actuation Metered Dose Inhaler (CFC Free),actuation metered dose inhaler cfc free,,,,
Concentarted Solution for I.V Infusion,concentarted solution for iv infusion,for iv infusion,['iv'],['infusion'],
Concentrate for IV Infusion,concentrate for iv infusion,for iv infusion,['iv'],['infusion'],
Powder For Injection (I.V./I..M.),powder for injection iv im,for injection iv im,"['im', 'iv']",['injection'],
Oral Solution Drops,oral solution drops,,,,
Dry Powder Inhalation in Capsule,dry powder inhalation in capsule,,,,
Delayed-Released Tablet,delayed-released tablet,,,,
Powder for Suspention,powder for suspention,for suspention,[],[],
Solution for Injection (Iv),solution for injection iv,for injection iv,['iv'],['injection'],
Powder For Suspension (Oral Drops) (Strawberry Flavor),powder for suspension oral drops strawberry flavor,for suspension oral drops strawberry flavor,['oral'],['suspension'],suspension
Powder For Solution For IV Infusion,powder for solution for iv infusion,for solution for iv infusion,['iv'],['infusion'],solution
Powder for Injrrction (I.M. / I.V.),powder for injrrction im iv,for injrrction im iv,"['im', 'iv']",[],
Pegylated Liposomal Concentrated Solution For I.V. Infusion,pegylated liposomal concentrated solution for iv infusion,for iv infusion,['iv'],['infusion'],
"Ophthalmic 
Solution (Eye Drops)",ophthalmic solution eye drops,,,,
Solution For Injecton (Iv),solution for injecton iv,for injecton iv,['iv'],[],
Nasal Solution (spray),nasal solution spray,,,,
Syrup (Cola Flavor),syrup cola flavor,,,,
Gfs,gfs,,,,
Lyophilized Powder For Injecion,lyophilized powder for injecion,for injecion,[],[],
Film Coated  Tablet,film coated tablet,,,,
Each sugar-coated tablet contains: Thiamine Mononitrate (Vitamin B1) 300 mg Riboflavin (Vitamin B2) 30 mg Nicotinic Acid (Vitamin B3) 25 mg Pyridoxine HCl (Vitamin B6) 100 mg Cyanocobalamin (Vitamin B12),each sugar-coated tablet contains thiamine mononitrate vitamin b mg riboflavin vitamin b mg nicotinic acid vitamin b mg pyridoxine hcl vitamin b mg cyanocobalamin vitamin b,,,,
Each sugar-coated tablet contains: Thiamine Mononitrate (Vitamin B1) Pyridoxine HCl (Vitamin B6) Riboflavin (Vitamin B2) Nicotinic Acid (Vitamin B3) Cyanocobalamin (Vitamin B12),each sugar-coated tablet contains thiamine mononitrate vitamin b pyridoxine hcl vitamin b riboflavin vitamin b nicotinic acid vitamin b cyanocobalamin vitamin b,,,,
Ophthalmic / Otic Solution,ophthalmic otic solution,,,,
Ophthalmic/ Otic Solution,ophthalmic otic solution,,,,
Oral Suspension (Oral Drops),oral suspension oral drops,,,,
Topical gel,topical gel,,,,
Powder for Solution fo Injection (IV/SC),powder for solution fo injection iv sc,for solution fo injection iv sc,"['sc', 'iv']",['injection'],solution
Ophthalmic Solution Drops,ophthalmic solution drops,,,,
per ml Solution for injection,per ml solution for injection,for injection,[],['injection'],
Powder for Infection (IV),powder for infection iv,for infection iv,['iv'],[],
Powder for Solution,powder for solution,for solution,[],[],solution
sachet Suspension,sachet suspension,,,,
Powder For Injection (I.V. Infusion),powder for injection iv infusion,for injection iv infusion,['iv'],"['infusion', 'injection']",
Lyophilized Powder For Injection (For IV Infusion),lyophilized powder for injection for iv infusion,for injection for iv infusion,['iv'],"['infusion', 'injection']",
Lyophilized Powder for Injection (for IV Infusion),lyophilized powder for injection for iv infusion,for injection for iv infusion,['iv'],"['infusion', 'injection']",
Solution For Injection (Intramuscular Only),solution for injection intramuscular only,for injection intramuscular only,['intramuscular'],['injection'],
Solution For Injection (Intramasucular Only),solution for injection intramasucular only,for injection intramasucular only,['intramasucular'],['injection'],
Lyophilized Powder for solution for IV Infusion,lyophilized powder for solution for iv infusion,for solution for iv infusion,['iv'],['infusion'],solution
Concetrate Solution For Intravenous Infusion,concetrate solution for intravenous infusion,for intravenous infusion,['intravenous'],['infusion'],
Fil-Coated Tablet,fil-coated tablet,,,,
Lyophilized Powder For  Injection (IV),lyophilized powder for injection iv,for injection iv,['iv'],['injection'],
Long Acting Film-Coated Tablet,long acting film-coated tablet,,,,
Sachet Herbal Tea,sachet herbal tea,,,,
Iv/Im,iv im,,,,
Pastille,pastille,,,,
Solution for Injection IM/IV,solution for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Powder for Solution for Injection,powder for solution for injection,for solution for injection,[],['injection'],solution
Powder For Solution For Injection (IV/SC),powder for solution for injection iv sc,for solution for injection iv sc,"['sc', 'iv']",['injection'],solution
Solution for Injection  (Slow I.V. Infusion),solution for injection slow iv infusion,for injection slow iv infusion,['iv'],"['infusion', 'injection']",
Sterile Ophtalmic Solution (Eye Drops),sterile ophtalmic solution eye drops,,,,
Eye &amp; Ear Suspension,eye amp ear suspension,,,,
Opthalmic and Otic Suspension,opthalmic and otic suspension,,,,
Ophthalmic and Otic Suspension,ophthalmic and otic suspension,,,,
Lyophilized Powder for Injection for Infusion,lyophilized powder for injection for infusion,for injection for infusion,[],"['infusion', 'injection']",
Lyophilized powder for I.V infusion,lyophilized powder for iv infusion,for iv infusion,['iv'],['infusion'],
Powder In Capsule For Inhalation,powder in capsule for inhalation,for inhalation,[],['inhalation'],
Powder For I.V Injection,powder for iv injection,for iv injection,['iv'],['injection'],
"Solution for Injection 
(I.M./I.V. Infusion)",solution for injection im iv infusion,for injection im iv infusion,"['im', 'iv']","['infusion', 'injection']",
Film-Coated  Tablet,film-coated tablet,,,,
Tropical Cream,tropical cream,,,,
Tropical Ointment,tropical ointment,,,,
Ampoules,ampoules,,,,
Solution For Infusion (IM/IV),solution for infusion im iv,for infusion im iv,"['im', 'iv']",['infusion'],
Syrup(Oral drops),syruporal drops,,,,
Solution For Injection (SC/IM/IV),solution for injection sc im iv,for injection sc im iv,"['im', 'sc', 'iv']",['injection'],
metered dose inhaler,metered dose inhaler,,,,
solution for inhalation,solution for inhalation,for inhalation,[],['inhalation'],
Delayed - Release Capsule,delayed - release capsule,,,,
Powder Suspension,powder suspension,,,,
Lyophilized Powder for Infusion,lyophilized powder for infusion,for infusion,[],['infusion'],
Powder For Solution For Injection (I.V),powder for solution for injection iv,for solution for injection iv,['iv'],['injection'],solution
Powder For Injection (I.V/I.M),powder for injection iv im,for injection iv im,"['im', 'iv']",['injection'],
Transdermal Drug Delivery System,transdermal drug delivery system,,,,
Lyophilized Powder For Solution,lyophilized powder for solution,for solution,[],[],solution
Drops,drops,,,,
Lyophilized Powder For Injection (I. V. Infusion),lyophilized powder for injection i v infusion,for injection i v infusion,[],"['infusion', 'injection']",
Lyophilized Powder for Injection(I.V. Infusion),lyophilized powder for injectioniv infusion,for injectioniv infusion,[],['infusion'],
Powder for Solution for Injection (I.V.),powder for solution for injection iv,for solution for injection iv,['iv'],['injection'],solution
Enteric - Coated Tablet,enteric - coated tablet,,,,
Contrate Solution For Iv Infusion,contrate solution for iv infusion,for iv infusion,['iv'],['infusion'],
Lyophilized Powder For Injection/Infusion (I.V.),lyophilized powder for injection infusion iv,for injection infusion iv,['iv'],"['infusion', 'injection']",
Delayed-release Tablet,delayed-release tablet,,,,
Powder for Injection/Infusion,powder for injection infusion,for injection infusion,[],"['infusion', 'injection']",
Orally-Disintegrating Tablet,orally-disintegrating tablet,,,,
Iv Infusion,iv infusion,,,,
Powder fo IV Infusion,powder fo iv infusion,,,,
Concentrate for Intravenous Infusion,concentrate for intravenous infusion,for intravenous infusion,['intravenous'],['infusion'],
Oral Drops Solution,oral drops solution,,,,
Solution For Injection (I.M / I.V),solution for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Suspension For Injection (IM/IA),suspension for injection im ia,for injection im ia,"['im', 'ia']",['injection'],
Topical Solution (Mouth Paint),topical solution mouth paint,,,,
Dispesible Tablet,dispesible tablet,,,,
Solution for Injection (I.M./I.V./S.C.,solution for injection im iv sc,for injection im iv sc,"['im', 'sc', 'iv']",['injection'],
Solution for Injection (I.M./I. V./S.C.),solution for injection im i v sc,for injection im i v sc,"['im', 'sc']",['injection'],
Total Parenteral Nutrition,total parenteral nutrition,,,,
Coated Tablet,coated tablet,,,,
Modified Release tablet,modified release tablet,,,,
Lyophilized Powder For Injection/Infusion,lyophilized powder for injection infusion,for injection infusion,[],"['infusion', 'injection']",
Lyophilized Powder For  Injection/Infusion,lyophilized powder for injection infusion,for injection infusion,[],"['infusion', 'injection']",
Film-Coated Caplet,film-coated caplet,,,,
Oral Suspension (Strawberry Flavor),oral suspension strawberry flavor,,,,
Powder For Injection(I.M./I.V.),powder for injectionim iv,for injectionim iv,['iv'],[],
Powder Of Injection (IM/IV),powder of injection im iv,,,,
"Lyophilized Powder for Solution for 
IV Infusion",lyophilized powder for solution for iv infusion,for solution for iv infusion,['iv'],['infusion'],solution
Solution for IV. Infusion,solution for iv infusion,for iv infusion,['iv'],['infusion'],
Powder For Injection (I.M./ I.V.0,powder for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Concentrate Solution for Infusion (I.V.),concentrate solution for infusion iv,for infusion iv,['iv'],['infusion'],
Solution for Injection I.V. Infusion,solution for injection iv infusion,for injection iv infusion,['iv'],"['infusion', 'injection']",
Emulsion For Injection/Infusion (IV),emulsion for injection infusion iv,for injection infusion iv,['iv'],"['infusion', 'injection']",
Powder For Injection (Im/Vi),powder for injection im vi,for injection im vi,['im'],['injection'],
Powder Of Injection (Im/Iv),powder of injection im iv,,,,
Lyophilized Powder For Intravenous Injection,lyophilized powder for intravenous injection,for intravenous injection,['intravenous'],['injection'],
Solution For Injection (I.M. And I.V.),solution for injection im and iv,for injection im and iv,"['im', 'iv']",['injection'],
Enteric-Coated,enteric-coated,,,,
Powder For Solution For Injection (I.M./I.V.),powder for solution for injection im iv,for solution for injection im iv,"['im', 'iv']",['injection'],solution
Lyophilized Powder For Injection (Iv/Sc),lyophilized powder for injection iv sc,for injection iv sc,"['sc', 'iv']",['injection'],
100mg Hard Gelatin Capsule,mg hard gelatin capsule,,,,
Pegylated Liposomal Concentrate Solution For Iv Infusion,pegylated liposomal concentrate solution for iv infusion,for iv infusion,['iv'],['infusion'],
Concentrate Solution For Infusion (I.V.),concentrate solution for infusion iv,for infusion iv,['iv'],['infusion'],
Pegylated Liposomal Suspension for Intravenous Infusion,pegylated liposomal suspension for intravenous infusion,for intravenous infusion,['intravenous'],['infusion'],
Lyophilized Power For Injection (IV),lyophilized power for injection iv,for injection iv,['iv'],['injection'],
Solution For Injection  (IM/IV  Infusion),solution for injection im iv infusion,for injection im iv infusion,"['im', 'iv']","['infusion', 'injection']",
Oral Dispersible Tablet,oral dispersible tablet,,,,
Syrup (Grapes Flavor),syrup grapes flavor,,,,
Sustained-Released Tablet,sustained-released tablet,,,,
Effervescent Tablet (Orange Tablet),effervescent tablet orange tablet,,,,
Dispersible Tablets for Oral Suspension,dispersible tablets for oral suspension,for oral suspension,['oral'],['suspension'],suspension
Powder for injection (IV/IM),powder for injection iv im,for injection iv im,"['im', 'iv']",['injection'],
Solution For Injection (I.M./S.C./I.V. Infusion),solution for injection im sc iv infusion,for injection im sc iv infusion,"['im', 'sc', 'iv']","['infusion', 'injection']",
Solution for Injection (1.V.),solution for injection v,for injection v,[],['injection'],
Lyophilized Mass For Injection (IV),lyophilized mass for injection iv,for injection iv,['iv'],['injection'],
Volatile liquid for inhalation,volatile liquid for inhalation,for inhalation,[],['inhalation'],
Prolonged -Release Tablet,prolonged -release tablet,,,,
