original,tokenized,drug_format
Film Coated Table,film coated table,tablet
"Solution 
for Injection (IV)",solution for injection iv,solution
Ophthalmic Drop,ophthalmic drop,drops
Solution for Injection (I.M),solution for injection im,solution
Sterile Ophthalmic Solution (eye Drops),sterile ophthalmic solution eye drops,solution
Sterile Aqueous Suspension For Injection (Im),sterile aqueous suspension for injection im,suspension
Intraocular Solution,intraocular solution,solution
Liquid (Topical Solution),liquid topical solution,solution
Solution with moisturizer,solution with moisturizer,solution
Eye drops,eye drops,drops
Liniment,liniment,liniment
Syrup ( Oral Drops ),syrup oral drops,syrup
Liquid Form,liquid form,liquid
Soap,soap,soap
Timed Release Tablet,timed release tablet,tablet
Liniment Oil,liniment oil,liniment
70% Solution,solution,solution
Ointment Stick,ointment stick,ointment
Spray,spray,spray
Suspension (Oral Drops) [Orange Sugar Free],suspension oral drops orange sugar free,suspension
Topical Balm,topical balm,
SOLUTION,solution,solution
Syrup (Pediatric Drops),syrup pediatric drops,syrup
Chewable Capsule,chewable capsule,capsule
Tincture,tincture,tincture
Oil Liniment,oil liniment,liniment
Patch,patch,patch
LIQUID,liquid,liquid
Gargle Solution,gargle solution,solution
Cleansing Solution,cleansing solution,solution
Syrup (oral drops),syrup oral drops,syrup
Suspension (Drops),suspension drops,suspension
Gargle and Mouthwash,gargle and mouthwash,gargle
Suspension (Orange),suspension orange,suspension
Suspension (Strawberry),suspension strawberry,suspension
Vapor Rub Ointment,vapor rub ointment,ointment
Solution With Moisturizer,solution with moisturizer,solution
Solution (Feminine Wash),solution feminine wash,solution
Tube,tube,tube
Liniment Cream,liniment cream,cream
Topical Aerosol,topical aerosol,solution
Aerosol Spray,aerosol spray,solution
Powder For Oral Soultion,powder for oral soultion,powder
"Solution, topical",solution topical,solution
Skin Cleanser Solution,skin cleanser solution,solution
CHEWABLE TABLET,chewable tablet,tablet
Liquid Formulation,liquid formulation,liquid
Cleansing Solution (Feminine Wash),cleansing solution feminine wash,solution
Oromucosal solution (throat spray),oromucosal solution throat spray,solution
Suspension for Oral Drops (Orange Flavor),suspension for oral drops orange flavor,suspension
Oral Suspension (Berry Flavor),oral suspension berry flavor,suspension
Suspension for Oral Drops (Berry Flavor),suspension for oral drops berry flavor,suspension
Suspension for Oral Drops (Melon Flavor),suspension for oral drops melon flavor,suspension
Dry Powder Spray,dry powder spray,powder
Lozenge (Lemon Flavor),lozenge lemon flavor,lozenge
Lozenge (Lemon Flavor) (For Export Only),lozenge lemon flavor for export only,lozenge
Lozenge (Orange Flavor) (For Export Only),lozenge orange flavor for export only,lozenge
Lozenge (Citrus Flavor) (For Export Only),lozenge citrus flavor for export only,lozenge
Topical Solution (Skin Cleanser),topical solution skin cleanser,solution
Alcohol,alcohol,alcohol
Liniment (Roll On),liniment roll on,liniment
Oil,oil,oil
Granules For Solution (Melon Flavor),granules for solution melon flavor,solution
Sterile Solution,sterile solution,solution
Syrup (Oral Drops) Melon Flavor,syrup oral drops melon flavor,syrup
Syrup (Oral Drops) Berry Flavor,syrup oral drops berry flavor,syrup
Topical,topical,
Rubbing Solution,rubbing solution,solution
Granules for Solution (Strawberry Flavor),granules for solution strawberry flavor,solution
Granules for Solution (Grape Flavor),granules for solution grape flavor,solution
Granules for Solution (Apple Flavor),granules for solution apple flavor,solution
Cutaneous Solution,cutaneous solution,solution
Tropical Protectant,tropical protectant,protectant
Vaporizing Ointment,vaporizing ointment,ointment
Medicated Patch,medicated patch,patch
Collapsible Plastic Tube,collapsible plastic tube,tube
Oinment Stick,oinment stick,ointment
Toothache Drop,toothache drop,drops
Skin Cleanser,skin cleanser,cleanser
Lozenge (Menthol Eucalyptus Flavor),lozenge menthol eucalyptus flavor,lozenge
(equivalent to 562.50mg Sodium Acorbate),equivalent to mg sodium acorbate,
Oral Solution (Gargle),oral solution gargle,solution
Liniment(Lavender Scent),linimentlavender scent,liniment
"Oral Solution 
(Peppermint Flavor)",oral solution peppermint flavor,solution
Topical Solution (Cucumber Green Tea Scent),topical solution cucumber green tea scent,solution
Powder,powder,powder
Oil For Inhalation,oil for inhalation,inhaler
Each 100Ml Contains: Methyl Salicylate …………. 60% Mineral Oil ……………… 40%,each ml contains methyl salicylate mineral oil,oil
Topical Solution with Moisturizer (Scented),topical solution with moisturizer scented,solution
Solution with Moisturizer,solution with moisturizer,solution
Lozenge (Spearmint Flavor),lozenge spearmint flavor,lozenge
Lozenge (Honey &amp; Lemon Flavor),lozenge honey amp lemon flavor,lozenge
"Liniment 
(Lemon Scent)",liniment lemon scent,liniment
"Lozenge (Ginger, Honey, Lemon Flavor)",lozenge ginger honey lemon flavor,lozenge
"Solution 
Inhalation",solution inhalation,solution
Aerosol,aerosol,solution
Powder For Oral Solution (Orange flavor),powder for oral solution orange flavor,powder
"Topical Ointment (Baby 
Powder Scent)",topical ointment baby powder scent,powder
Solution (Unscented),solution unscented,solution
Povidone-Iodine,povidone-iodine,
Throat Spray Solution,throat spray solution,solution
Solution with Moisturizer (Sweet Pea Scent),solution with moisturizer sweet pea scent,solution
Tropical Solution,tropical solution,solution
Solution (with Moisturizer),solution with moisturizer,solution
LINIMENT,liniment,liniment
Embrocation,embrocation,embrocation
Solution (Skin Cleanser),solution skin cleanser,solution
Oral Antiseptic Solution,oral antiseptic solution,solution
Paint,paint,paint
Toothache Drops Solution,toothache drops solution,solution
Gel-Patch,gel-patch,patch
Vaginal Douche,vaginal douche,douche
Solution Moisturizer,solution moisturizer,solution
Stick,stick,stick
Surgical Skin Cleanser Solution,surgical skin cleanser solution,solution
Cone,cone,
(1%) ORAL SOLUTION (GARGLE),oral solution gargle,solution
Topical  Oil,topical oil,oil
Solution for Spray,solution for spray,solution
Effervsecent Water Purification Tablet,effervsecent water purification tablet,tablet
Medicated Soap,medicated soap,soap
POWDER,powder,powder
Surgical Scrub,surgical scrub,
Oral Suspension (Tutti-Frutti flavor),oral suspension tutti-frutti flavor,suspension
V/v Solution,v v solution,solution
Corn Plaster,corn plaster,plaster
Liquefied Gas,liquefied gas,
Nasal Inhalation,nasal inhalation,inhaler
Gaseous Oxygen,gaseous oxygen,
Gas,gas,
Medical Oxygen,medical oxygen,
Medical Gases,medical gases,
Gas For Inhalation,gas for inhalation,inhaler
Medical Gas,medical gas,
Liter/Minute,liter minute,
Oxygen Gas,oxygen gas,
Gas For Inhalation/ Na,gas for inhalation na,inhaler
none,none,
Medical Regulator Flow,medical regulator flow,
Hospital Use,hospital use,
Compressed Medical Gas,compressed medical gas,
Na,na,
Powder for injection,powder for injection,powder
Powder for Suspension (Cherry Flavor),powder for suspension cherry flavor,powder
Powder for injection (IM/IV),powder for injection im iv,powder
Powder For Suspension (Pineapple Flavor),powder for suspension pineapple flavor,powder
Powder for suspension,powder for suspension,powder
Powder for oral suspension,powder for oral suspension,powder
Powder for Oral suspension,powder for oral suspension,powder
Solution For Injection (I.V),solution for injection iv,solution
Dry Powder Fo Inhalation In Capsule,dry powder fo inhalation in capsule,powder
Solution For Injection (IV/IM/SC),solution for injection iv im sc,solution
Suspension (Tutti-Frutti Flavor),suspension tutti-frutti flavor,suspension
Suspension (Oral Drops) (Tutti-Frutti Flavor),suspension oral drops tutti-frutti flavor,suspension
Concentrate Solution For (I.V.) Infusion,concentrate solution for iv infusion,concentrate
Lyophilized Powder For Injection (I.V),lyophilized powder for injection iv,powder
Syrup (Mentholated Orange Flavor),syrup mentholated orange flavor,syrup
"Chewable Tablet 
(Orange Flavor)",chewable tablet orange flavor,tablet
"Syrup (Oral Drops) (Orange 
Flavor)",syrup oral drops orange flavor,syrup
"Suspension 
(Peppermint Flavor)",suspension peppermint flavor,suspension
Syrup (Oral Drops) (Grape Flavor),syrup oral drops grape flavor,syrup
Concentrate for Solution for Injection (I.V. Infusion),concentrate for solution for injection iv infusion,concentrate
Syrup (Oral Drops) (Cherry Flavor),syrup oral drops cherry flavor,syrup
Throat Spray (Mint Flavor),throat spray mint flavor,spray
"Chewable Tablet 
(Pineapple Flavor)",chewable tablet pineapple flavor,tablet
Effervescent Granules for Solution,effervescent granules for solution,solution
Chewable Tablet (Strawberry Flavor) :,chewable tablet strawberry flavor,tablet
"Oral Suspension 
(Orange Flavor)",oral suspension orange flavor,suspension
"Oral Suspension 
(Peppermint Flavor)",oral suspension peppermint flavor,suspension
Solution For Injection(IM/IV),solution for injectionim iv,solution
"Concentrated Solution for 
IV Infusion",concentrated solution for iv infusion,solution
Refer To Generic Name,refer to generic name,
Lyophilized Powder for Solution for Infusion,lyophilized powder for solution for infusion,powder
Syrup (Apple Flavor),syrup apple flavor,syrup
Syrup (Tutti-Fruitti Flavor),syrup tutti-fruitti flavor,syrup
Sustained-Relase Tablet,sustained-relase tablet,suspension
Tea Bag,tea bag,tea
"Syrup (Strawberry 
Flavor)",syrup strawberry flavor,syrup
Syrup (oral Drops) (Strawberry Flavor),syrup oral drops strawberry flavor,syrup
Enteric- Coated Tablet,enteric- coated tablet,tablet
Syrup (Vanilla Flavor),syrup vanilla flavor,syrup
Powder for Injection (I.M/I.V.),powder for injection im iv,powder
"Solution for Injection for 
I.V. Infusion",solution for injection for iv infusion,solution
Solution for Injection (I.M./I.V. Infusion),solution for injection im iv infusion,solution
Powder For Injection (IMV/IM),powder for injection imv im,powder
Concentrated Solution For Iv Infusion,concentrated solution for iv infusion,solution
Concentrate Solution For I.V Infusion,concentrate solution for iv infusion,concentrate
"Concentrate Solution for 
Injection for I.V. Infusion",concentrate solution for injection for iv infusion,concentrate
"Capsule (containing Clopidogrel immediate-release pellets and 
Aspirin enteric-coated pellets)",capsule containing clopidogrel immediate-release pellets and aspirin enteric-coated pellets,capsule
Solution for Injection IV,solution for injection iv,solution
Tea Bag (Sachet),tea bag sachet,sachet
Lyophilised Powder for Concrete for Solution For Infusion (IV),lyophilised powder for concrete for solution for infusion iv,powder
Solution for Injection (I.V./I.V. Infusion),solution for injection iv iv infusion,solution
Solution for Intramuscular Injection,solution for intramuscular injection,solution
Film-Coated Sustained-Release Tablet,film-coated sustained-release tablet,suspension
Effervescent tablet,effervescent tablet,tablet
Lyophilized Powder for Injection (IV infusion),lyophilized powder for injection iv infusion,powder
Oral Solution (Drops),oral solution drops,solution
Powder for Injection (I.M.I.V.),powder for injection imiv,powder
"Syrup (Oral Drops (Cherry 
Flavor)",syrup oral drops cherry flavor,syrup
Powder for Injection for I.V. Infusion,powder for injection for iv infusion,powder
Solution for Injection (IM/IV/Rectal),solution for injection im iv rectal,solution
"Suspension for Injection (IM, Pre-Filled Syringe)",suspension for injection im pre-filled syringe,suspension
"Solution for I.V. Injection (I.M./I.V. 
Infusion)",solution for iv injection im iv infusion,solution
Chewable Tablet (Peppermint Flavor),chewable tablet peppermint flavor,tablet
Oral Disintegrating Strips (Strawberry Flavor),oral disintegrating strips strawberry flavor,strips
Syrup (Raspberry Flavor),syrup raspberry flavor,syrup
Suspension (Oral Drops) (Strawberry Flavor),suspension oral drops strawberry flavor,suspension
"Pegylated Liposomal 
Concentrate Solution for Injection (IV Infusion)",pegylated liposomal concentrate solution for injection iv infusion,concentrate
"Pegylated Liposomal 
Concentrate for Solution for Injection (IV Infusion)",pegylated liposomal concentrate for solution for injection iv infusion,concentrate
"Solution for Injection 
(IM/IV/SC)",solution for injection im iv sc,solution
Powder for Injection (I.M./1.V.),powder for injection im v,powder
"Sterile 
Ophthalmic Solution",sterile ophthalmic solution,solution
Capusle,capusle,capsule
"Concentrated Solution for 
Injection (IV Infusion)",concentrated solution for injection iv infusion,solution
Micronized Capsule,micronized capsule,capsule
Ophthalmic / Otic Solution (Drops),ophthalmic otic solution drops,solution
"Sterile Ophthalmic 
Solution (Eye Drops)",sterile ophthalmic solution eye drops,solution
"Sterile Ophthalmic Solution (Eye 
Drops)",sterile ophthalmic solution eye drops,solution
Powder for Injection (I.V/I.M),powder for injection iv im,powder
Powder for Injection (I.M/I.V.,powder for injection im iv,powder
"Solution for Injection 
(I.M./I.V./S.C.)",solution for injection im iv sc,solution
Suspension For Nebulization,suspension for nebulization,suspension
Tablet (Non-Drowsy),tablet non-drowsy,tablet
Lyophilized Powder For Injetcion for I.V. Infusion,lyophilized powder for injetcion for iv infusion,powder
Syrup ( Oral Drops),syrup oral drops,syrup
Soution for Injection (IM/IV),soution for injection im iv,
Premetered Dose Dry Powder for Inhalation,premetered dose dry powder for inhalation,powder
"Solution for Injection 
(Intrathecal)",solution for injection intrathecal,solution
"Film 
Coated Tablet",film coated tablet,tablet
Pre-Filled Syringe,pre-filled syringe,syringe
Syrup (Vanilla-Strawberry Flavor),syrup vanilla-strawberry flavor,syrup
Concentrate Solution for Injection (IV/Intravesical),concentrate solution for injection iv intravesical,concentrate
Soft gelatin capsule,soft gelatin capsule,capsule
Soft Gelatin Oral Capsule,soft gelatin oral capsule,capsule
Soft gelatin Oral capsule,soft gelatin oral capsule,capsule
Syrup (Strawberry-Banana Flavor),syrup strawberry-banana flavor,syrup
Oral Suspension (Tutti Frutti Flavor),oral suspension tutti frutti flavor,suspension
"Oromucosal Solution 
(Throat Spray) (Mint Flavor)",oromucosal solution throat spray mint flavor,solution
Solution for Injection (I.M/I.V),solution for injection im iv,solution
Emulsion for Injection (I.V./Infusion),emulsion for injection iv infusion,emulsion
Powder for Injection (I.M./I.V),powder for injection im iv,powder
"Powder for Oral Suspension 
(Raspberry Flavor)",powder for oral suspension raspberry flavor,powder
Powder for Injection (I.M. / I.V.),powder for injection im iv,powder
Lyophilized Powder For Injection (IM/IV),lyophilized powder for injection im iv,powder
Syrup (Oral Drops) Banana flavor,syrup oral drops banana flavor,syrup
Chewable Tablet (Cherry Flavor),chewable tablet cherry flavor,tablet
Oral Liquid (Raspberry Flavor),oral liquid raspberry flavor,liquid
Lyophilized Powder For Solution For IV Infusion,lyophilized powder for solution for iv infusion,powder
Powder for Concentrate Solution IV Infusion,powder for concentrate solution iv infusion,powder
Solution for Liposomal Injection (IV),solution for liposomal injection iv,solution
Solution for Injection (IV Infusion/SC),solution for injection iv infusion sc,solution
Syrup(Orange Flavor),syruporange flavor,syrup
Lyophilized Powder For (I.V. Infusion),lyophilized powder for iv infusion,powder
"Concentrate Solution for Injection 
(IV Infusion)",concentrate solution for injection iv infusion,concentrate
"Concentrate Solution for 
Injection (IV/Intravesical)",concentrate solution for injection iv intravesical,concentrate
Powder For Solution For Infusion,powder for solution for infusion,powder
Solution for Injection for I.V. Infusion,solution for injection for iv infusion,solution
"Solution for Injection for I.V. 
Infusion",solution for injection for iv infusion,solution
"Solution for Injection (I.V. 
Infusion)",solution for injection iv infusion,solution
Extended release Tablet,extended release tablet,tablet
Solution for Injection (IM/IV,solution for injection im iv,solution
Sugar Film-coated Tablet,sugar film-coated tablet,tablet
"Syrup (Oral Drops) 
(Orange Flavor)",syrup oral drops orange flavor,syrup
Sterile Powder for Injection (I.V.),sterile powder for injection iv,powder
Pessary,pessary,pessary
Lyophilized Powder for Solution for Injection (I.V. Infusion),lyophilized powder for solution for injection iv infusion,powder
Powder for Concentrate for Solution for Infusion (I.V.),powder for concentrate for solution for infusion iv,powder
Lyophilized Powder For Solution for Injection (IV),lyophilized powder for solution for injection iv,powder
Solution for Injection (I.M. / S.C. / I.V.),solution for injection im sc iv,solution
Sterile Water For Injection,sterile water for injection,
Injection,injection,
Powder For Injection ( IV),powder for injection iv,powder
Topical Lotion,topical lotion,lotion
Lyophilized Powder for Solution for I.V. Injection/Infusion,lyophilized powder for solution for iv injection infusion,powder
Oral Solution (Oral Drops),oral solution oral drops,solution
Powder for Injection (I.M./I. V .),powder for injection im i v,powder
Concentrate Solution For Intravenous (IV) Infusion,concentrate solution for intravenous iv infusion,concentrate
"Concentrate Solution for 
Injection (IV Infusion)",concentrate solution for injection iv infusion,concentrate
Lyophilized Powder for Solution for I.V. Infusion,lyophilized powder for solution for iv infusion,powder
Solution for Injection/Infusion (IM/IV/Rectal),solution for injection infusion im iv rectal,solution
Concentrate Solution for Injection (IV Infusion),concentrate solution for injection iv infusion,concentrate
Conc. Solution For Injection,conc solution for injection,concentrate
"Solution for Intravenous 
(I.V.) Injection",solution for intravenous iv injection,solution
Solution for Intrathecal Injection,solution for intrathecal injection,solution
Lyophilized Powder for Injection (S.C./I.V.),lyophilized powder for injection sc iv,powder
Lyophilized Powder for Injection/I.V. Infusion,lyophilized powder for injection iv infusion,powder
"Concentrate Solution for 
Intravenous Infusion",concentrate solution for intravenous infusion,concentrate
"Lozenge (Honey Lemon 
Flavor)",lozenge honey lemon flavor,lozenge
"Lozenge (Black Currant 
Flavor)",lozenge black currant flavor,lozenge
"Concentrated Solution for 
Injection (I.V. Infusion)",concentrated solution for injection iv infusion,solution
Powder for Injection (I.V. Infusion),powder for injection iv infusion,powder
"Powder for 
Injection (IM/IV)",powder for injection im iv,powder
"Solution for I.V. 
Injection/Infusion",solution for iv injection infusion,solution
"Syrup (Sugar-free, Orange Flavor)",syrup sugar-free orange flavor,syrup
Powder For Solution For Injection (I.M/I.V.),powder for solution for injection im iv,powder
(Oral Drops),oral drops,drops
Powder For Injection (Lyophilized),powder for injection lyophilized,powder
Concentrate Solution for Intravenous Infusion,concentrate solution for intravenous infusion,concentrate
Chewablet Tablet,chewablet tablet,tablet
Solution for Infusion (I.M./I.V.),solution for infusion im iv,solution
Solution for Injection (I.M./I.V),solution for injection im iv,solution
Syrup (Drops) (Grape flavor),syrup drops grape flavor,syrup
Solution for Intravenous (IV) Infusion,solution for intravenous iv infusion,solution
"Capsule
(containing two Clopidogrel tablets and one Aspirin tablet inside the capsule)",capsule containing two clopidogrel tablets and one aspirin tablet inside the capsule,tablet
Sterile Solution For Injection (Im/Iv),sterile solution for injection im iv,solution
"Sterile Ophthalmic Solution 
(Drops)",sterile ophthalmic solution drops,solution
"Concentrate Solution for IV 
Infusion",concentrate solution for iv infusion,concentrate
Solution for Injection (I.M/I.V ),solution for injection im iv,solution
Solution for Injection (Intrathecal),solution for injection intrathecal,solution
Aqueous Suspension for Inhalation (Nasal Spray),aqueous suspension for inhalation nasal spray,suspension
Powder For Solution For Injection Or Infusion,powder for solution for injection or infusion,powder
Solution for Reconstitution (I.V. Infusion),solution for reconstitution iv infusion,solution
"Solution for Injection 
(I.V.)",solution for injection iv,solution
"Lyophilized Powder for Injection (I.V. 
Infusion)",lyophilized powder for injection iv infusion,powder
Lyophilized Powder For Injection (IV/SC),lyophilized powder for injection iv sc,powder
Fat Emulsion for I.V. Infusion,fat emulsion for iv infusion,emulsion
Metered-Dose Nasal Spray,metered-dose nasal spray,spray
lyophilized Powder for IV Infusion,lyophilized powder for iv infusion,powder
"Solution for Intravenous 
Injection",solution for intravenous injection,solution
Injection (IV),injection iv,
Extended Release Tablets,extended release tablets,tablet
Extended-Release Tablets,extended-release tablets,tablet
Infusion (see reverse for formulation),infusion see reverse for formulation,
Powder For Suspension ( Oral Drops ),powder for suspension oral drops,powder
Powder For Solution For I.M/I.V,powder for solution for im iv,powder
Syrup (Orange Menthol Flavor),syrup orange menthol flavor,syrup
Ophthalmic Solution (eye drops),ophthalmic solution eye drops,solution
Distilled Water,distilled water,
Suspension For Injection (Im/Ia/Id),suspension for injection im ia id,suspension
Suspension For Injection (I.M./I.A./I.D.),suspension for injection im ia id,suspension
Micronised Capsule,micronised capsule,capsule
Suspension For Injection (Ia/Id/Im),suspension for injection ia id im,suspension
Powder for Intravenous Injection,powder for intravenous injection,powder
Solution For Injection(Im Iv),solution for injectionim iv,solution
Film Coated Tablet (Reformulated),film coated tablet reformulated,tablet
Powder For Intravenous Injection (I.V.),powder for intravenous injection iv,powder
Solution For Intrathecal Injection,solution for intrathecal injection,solution
Concentrate For Injection (Iv),concentrate for injection iv,concentrate
Concentrate for Injection (IV),concentrate for injection iv,concentrate
Lyophillized Powder For Injection (IV),lyophillized powder for injection iv,powder
Lyophilipized Powder For Injection (IV),lyophilipized powder for injection iv,powder
"Powder for Oral Suspension 
(Strawberry-Raspberry Flavor)",powder for oral suspension strawberry-raspberry flavor,powder
"Powder for Oral Suspension 
(Strawberry-Raspberry flavor)",powder for oral suspension strawberry-raspberry flavor,powder
"Syrup (Oral Drops) 
(equivalent to 125 mg Ferrous sulfate as heptahydrate 
per mL)",syrup oral drops equivalent to mg ferrous sulfate as heptahydrate per ml,syrup
Sterile Solution For Injection (I.M./I.V.),sterile solution for injection im iv,solution
Sterile Solution For Injection (IM/IV),sterile solution for injection im iv,solution
Syrup (equivalent to 55 mg / 5 mL Zinc Sulfate Monohydrate),syrup equivalent to mg ml zinc sulfate monohydrate,syrup
Powder for Injection (I.M/I.V),powder for injection im iv,powder
Saline Solution Nasal Spray,saline solution nasal spray,solution
Sol. For Injection,sol for injection,solution
Sterile Powder For Injection (Im/Iv),sterile powder for injection im iv,powder
Per Vial Powder For Injection (IM/IV),per vial powder for injection im iv,powder
Powder for Injection  (I.M./ I.V.),powder for injection im iv,powder
"Powder for Injection 
(I.M./I.V.)",powder for injection im iv,powder
Powder In Sachet,powder in sachet,powder
"Powder for Oral 
Solution",powder for oral solution,powder
Powder fo Injection (IM/IV),powder fo injection im iv,powder
Syrup (Orange Vanilla Toffee Flavor),syrup orange vanilla toffee flavor,syrup
Syrup (Orange Vanilla Butterscoth Flavor),syrup orange vanilla butterscoth flavor,syrup
Syrup (Orange Vanilla Butterscotch Flavor),syrup orange vanilla butterscotch flavor,syrup
Powder For Injection (Intravenous/Intravesical),powder for injection intravenous intravesical,powder
Adult Suspension,adult suspension,suspension
Powder Fo Injection (I.M.),powder fo injection im,powder
Powder For Suspension (Pediatric Oral Drops),powder for suspension pediatric oral drops,powder
Lyophilized Powder For I.V Injection,lyophilized powder for iv injection,powder
Solution For Infusion(IM/IV),solution for infusionim iv,solution
Sterile Otic Solution,sterile otic solution,solution
Powder For IV Injection,powder for iv injection,powder
Lyophilized Powder For Solution For I.V Infusion,lyophilized powder for solution for iv infusion,powder
Fiilm-Coated Tablet,fiilm-coated tablet,tablet
Opgthalmic Solution (Eye Drops),opgthalmic solution eye drops,solution
Solution For Injection (I.M/Slow I.V.),solution for injection im slow iv,solution
Enteric Film-Coated Tablet,enteric film-coated tablet,tablet
Lyophilized Powder For I.V. Injection,lyophilized powder for iv injection,powder
Lyophilized Powder For Iv Injection,lyophilized powder for iv injection,powder
Solution For Injection (I.M./ I.V),solution for injection im iv,solution
Extended-release Capsule,extended-release capsule,capsule
Solution For Injection (I.V.) Infusion),solution for injection iv infusion,solution
Delayed Release Capsules,delayed release capsules,capsule
Solution for Injection (IV./SC./Intrathecal),solution for injection iv sc intrathecal,solution
Solution for Injection (IV/SC/Intrathecal),solution for injection iv sc intrathecal,solution
solution for iv infusion,solution for iv infusion,solution
CONTROLLED-RELEASE TABLET,controlled-release tablet,tablet
Powder For Injection (IV Infusion),powder for injection iv infusion,powder
OPHTHALMIC SUSPENSION,ophthalmic suspension,suspension
Hematenic Capsule,hematenic capsule,capsule
Hematinic Capsule,hematinic capsule,capsule
Sachet,sachet,sachet
Aerosol For Inhalation (Cfc Free),aerosol for inhalation cfc free,solution
Actuation Aerosol For Inhalation (Cfc Free),actuation aerosol for inhalation cfc free,solution
Syrup (Mango Flavor),syrup mango flavor,syrup
10% w/v Intravenous Injection,w v intravenous injection,
Solution For Injection (I.V. / I.M.),solution for injection iv im,solution
9.12% in 5% Solution for IV Infusion,in solution for iv infusion,solution
9.12% in 5% solution Solution for IV Infusion,in solution solution for iv infusion,solution
Syrup (Mango flavor),syrup mango flavor,syrup
Modified Released Tablet,modified released tablet,tablet
Sachet Powder for Solution (Lemon Flavor),sachet powder for solution lemon flavor,powder
Emulsion For Injection (I.V.),emulsion for injection iv,emulsion
Intravenous Fat Emulsion,intravenous fat emulsion,emulsion
Tablet (equivalent to 105mg elemntal Iron),tablet equivalent to mg elemntal iron,tablet
Syrup(Oral Drops),syruporal drops,syrup
Suspension (Oral Drops) Raspberry/Grapes Flavor,suspension oral drops raspberry grapes flavor,suspension
"Suspension (Oral Drops) 
Raspberry/Grapes Flavor",suspension oral drops raspberry grapes flavor,suspension
Suspension (Oral Drops) Raspberry and Grape Flavor,suspension oral drops raspberry and grape flavor,suspension
Powder For I.V. Infusion,powder for iv infusion,powder
Suspension for Injection(I.M.),suspension for injectionim,suspension
Solution For Injection. (IM/IV),solution for injection im iv,solution
Contorlled-Release Tablet,contorlled-release tablet,tablet
Granuled For Oral Suspension,granuled for oral suspension,suspension
Syrup (Orange flavor),syrup orange flavor,syrup
Syrup (Alcohol Free),syrup alcohol free,syrup
Granules for Suspension (Strawberry Flavor),granules for suspension strawberry flavor,suspension
Powder for Injection (I.M./I/V/),powder for injection im i v,powder
Granules Of Suspension,granules of suspension,suspension
Powder for Injection  (IM/IV),powder for injection im iv,powder
Lyophilized Powder for Injection (IM.IV),lyophilized powder for injection imiv,powder
Powder For Injection Iv,powder for injection iv,powder
Syrup (Oral Drops) (equivalent to 27.50 mg / mL Zinc Sulfate Monohydrate),syrup oral drops equivalent to mg ml zinc sulfate monohydrate,syrup
Suspension For Injection(I.M.),suspension for injectionim,suspension
Rotacap,rotacap,capsule
Metered Dose Inhaler Suspension,metered dose inhaler suspension,suspension
Solution For Injection Im/Iv Infusion/Sc,solution for injection im iv infusion sc,solution
Solution for Injection IM / IV / SC,solution for injection im iv sc,solution
Sterile Powder For Injection IM / IV Infusion,sterile powder for injection im iv infusion,powder
Sterile Powder for Injection (I.M./I.V. Infusion),sterile powder for injection im iv infusion,powder
Lyphilized Powder For Injection (I.V.),lyphilized powder for injection iv,powder
LYOPHILIZED POWDER FOR INJECTION,lyophilized powder for injection,powder
Power for Injection,power for injection,powder
Forte Capsule,forte capsule,capsule
Sterile Powder for Injection (IV),sterile powder for injection iv,powder
Sterile Powder for Injection I.V.,sterile powder for injection iv,powder
Prolobged-Release Capsule,prolobged-release capsule,capsule
Fowder fo injection (IM/IV),fowder fo injection im iv,
Powder For Solution For Injection,powder for solution for injection,powder
Sterile Powder For Injection (I.M/I.V.),sterile powder for injection im iv,powder
Solution For Nasal Drops,solution for nasal drops,solution
Sterile Powder For Injection (Im/ Iv),sterile powder for injection im iv,powder
Per Actuation Metered Dose Inhaler,per actuation metered dose inhaler,inhaler
Syrup (Cherrry flavor),syrup cherrry flavor,syrup
Powder for Oral Suspension (Oral Drops),powder for oral suspension oral drops,powder
Sustained Released Tablet,sustained released tablet,suspension
Solution  for Injection (I.M./I.V.),solution for injection im iv,solution
Ophthalmic/Otic Solution,ophthalmic otic solution,solution
Solution For Intravenous Infusion For Injection,solution for intravenous infusion for injection,solution
Solution For Intravenous For Injection,solution for intravenous for injection,solution
Solution for Intravenous Infusion for Injection,solution for intravenous infusion for injection,solution
Solution for Itravenous Infusion for Injection,solution for itravenous infusion for injection,solution
Powder for Injetion IM / IV,powder for injetion im iv,powder
Adult Solution,adult solution,solution
Powder for Injection (I.M. /I.V.),powder for injection im iv,powder
"Syrup (Sugar-Free, Orange Flavor)",syrup sugar-free orange flavor,syrup
Enteric Coated-Tablet,enteric coated-tablet,tablet
Sugar-Caoted Tablet,sugar-caoted tablet,tablet
Solution for Iv Injection (IV Infusion),solution for iv injection iv infusion,solution
Glass Infusion Bottle,glass infusion bottle,
Lyopjilized Powder For Injection Intravenous Injection,lyopjilized powder for injection intravenous injection,powder
Solution for Inejction,solution for inejction,solution
Solutionf Or Injection (Im/Iv),solutionf or injection im iv,solution
Powder For Injection I.M./I.V.),powder for injection im iv,powder
(See formulation at the back),see formulation at the back,
Powder For Injection(IV),powder for injectioniv,powder
Suspension (Honeydew Melon Flavor),suspension honeydew melon flavor,suspension
Film-caoted Tablet,film-caoted tablet,tablet
Solution for Injection (I.M/I.V.0),solution for injection im iv,solution
Solution for Injection (I.M/I.V.),solution for injection im iv,solution
Solution for Injection (I.M./Slow I.V.),solution for injection im slow iv,solution
