original,tok_sent,drug_form_phrase,drug_roa_phrase,form_format,roa_format,roa_detail_1,roa_detail_2
solution for iv infusion,solution for iv infusion,solution,iv infusion,solution,,['iv'],['infusion']
CONTROLLED-RELEASE TABLET,controlled-release tablet,controlled-release tablet,,tablet,,[],[]
Powder For Injection (IV Infusion),powder for injection iv infusion,powder,injection iv infusion,powder,,['iv'],"['injection', 'infusion']"
OPHTHALMIC SUSPENSION,ophthalmic suspension,ophthalmic suspension,,suspension,,[],[]
Hematenic Capsule,hematenic capsule,hematenic capsule,,capsule,,[],[]
Hematinic Capsule,hematinic capsule,hematinic capsule,,capsule,,[],[]
Sachet,sachet,sachet,,sachet,,[],[]
Aerosol For Inhalation (Cfc Free),aerosol for inhalation cfc free,aerosol,inhalation cfc free,aerosol,,[],['inhalation']
Actuation Aerosol For Inhalation (Cfc Free),actuation aerosol for inhalation cfc free,actuation aerosol,inhalation cfc free,aerosol,,[],['inhalation']
Syrup (Mango Flavor),syrup mango flavor,syrup mango flavor,,syrup,,[],[]
10% w/v Intravenous Injection,w v intravenous injection,w v intravenous injection,,,,[],[]
Solution For Injection (I.V. / I.M.),solution for injection iv im,solution,injection iv im,solution,,"['im', 'iv']",['injection']
9.12% in 5% Solution for IV Infusion,in solution for iv infusion,in solution,iv infusion,solution,,['iv'],['infusion']
9.12% in 5% solution Solution for IV Infusion,in solution solution for iv infusion,in solution solution,iv infusion,solution,,['iv'],['infusion']
Syrup (Mango flavor),syrup mango flavor,syrup mango flavor,,syrup,,[],[]
Modified Released Tablet,modified released tablet,modified released tablet,,tablet,,[],[]
Sachet Powder for Solution (Lemon Flavor),sachet powder for solution lemon flavor,sachet powder,solution lemon flavor,sachet,solution,[],[]
Emulsion For Injection (I.V.),emulsion for injection iv,emulsion,injection iv,emulsion,,['iv'],['injection']
Intravenous Fat Emulsion,intravenous fat emulsion,intravenous fat emulsion,,emulsion,,[],[]
Tablet (equivalent to 105mg elemntal Iron),tablet equivalent to mg elemntal iron,tablet equivalent to mg elemntal iron,,tablet,,[],[]
Syrup(Oral Drops),syruporal drops,syruporal drops,,drops,,[],[]
Suspension (Oral Drops) Raspberry/Grapes Flavor,suspension oral drops raspberry grapes flavor,suspension oral drops raspberry grapes flavor,,suspension,,[],[]
"Suspension (Oral Drops) 
Raspberry/Grapes Flavor",suspension oral drops raspberry grapes flavor,suspension oral drops raspberry grapes flavor,,suspension,,[],[]
Suspension (Oral Drops) Raspberry and Grape Flavor,suspension oral drops raspberry and grape flavor,suspension oral drops raspberry and grape flavor,,suspension,,[],[]
Powder For I.V. Infusion,powder for iv infusion,powder,iv infusion,powder,,['iv'],['infusion']
Suspension for Injection(I.M.),suspension for injectionim,suspension,injectionim,suspension,,[],[]
Solution For Injection. (IM/IV),solution for injection im iv,solution,injection im iv,solution,,"['im', 'iv']",['injection']
Contorlled-Release Tablet,contorlled-release tablet,contorlled-release tablet,,tablet,,[],[]
Granuled For Oral Suspension,granuled for oral suspension,granuled,oral suspension,,suspension,['oral'],['suspension']
Syrup (Orange flavor),syrup orange flavor,syrup orange flavor,,syrup,,[],[]
Syrup (Alcohol Free),syrup alcohol free,syrup alcohol free,,syrup,,[],[]
Granules for Suspension (Strawberry Flavor),granules for suspension strawberry flavor,granules,suspension strawberry flavor,granules,suspension,[],['suspension']
Powder for Injection (I.M./I/V/),powder for injection im i v,powder,injection im i v,powder,,['im'],['injection']
Granules Of Suspension,granules of suspension,granules of suspension,,granules,,[],[]
Powder for Injection  (IM/IV),powder for injection im iv,powder,injection im iv,powder,,"['im', 'iv']",['injection']
Lyophilized Powder for Injection (IM.IV),lyophilized powder for injection imiv,lyophilized powder,injection imiv,powder,,[],['injection']
Powder For Injection Iv,powder for injection iv,powder,injection iv,powder,,['iv'],['injection']
Syrup (Oral Drops) (equivalent to 27.50 mg / mL Zinc Sulfate Monohydrate),syrup oral drops equivalent to mg ml zinc sulfate monohydrate,syrup oral drops equivalent to mg ml zinc sulfate monohydrate,,syrup,,[],[]
Suspension For Injection(I.M.),suspension for injectionim,suspension,injectionim,suspension,,[],[]
Rotacap,rotacap,rotacap,,,,[],[]
Metered Dose Inhaler Suspension,metered dose inhaler suspension,metered dose inhaler suspension,,suspension,,[],[]
Solution For Injection Im/Iv Infusion/Sc,solution for injection im iv infusion sc,solution,injection im iv infusion sc,solution,,"['im', 'sc', 'iv']","['injection', 'infusion']"
Solution for Injection IM / IV / SC,solution for injection im iv sc,solution,injection im iv sc,solution,,"['im', 'sc', 'iv']",['injection']
Sterile Powder For Injection IM / IV Infusion,sterile powder for injection im iv infusion,sterile powder,injection im iv infusion,powder,,"['im', 'iv']","['injection', 'infusion']"
Sterile Powder for Injection (I.M./I.V. Infusion),sterile powder for injection im iv infusion,sterile powder,injection im iv infusion,powder,,"['im', 'iv']","['injection', 'infusion']"
Lyphilized Powder For Injection (I.V.),lyphilized powder for injection iv,lyphilized powder,injection iv,powder,,['iv'],['injection']
LYOPHILIZED POWDER FOR INJECTION,lyophilized powder for injection,lyophilized powder,injection,powder,,[],['injection']
Power for Injection,power for injection,power,injection,,,[],['injection']
Forte Capsule,forte capsule,forte capsule,,capsule,,[],[]
Sterile Powder for Injection (IV),sterile powder for injection iv,sterile powder,injection iv,powder,,['iv'],['injection']
Sterile Powder for Injection I.V.,sterile powder for injection iv,sterile powder,injection iv,powder,,['iv'],['injection']
Prolobged-Release Capsule,prolobged-release capsule,prolobged-release capsule,,capsule,,[],[]
Fowder fo injection (IM/IV),fowder fo injection im iv,fowder fo injection im iv,,,,[],[]
Powder For Solution For Injection,powder for solution for injection,powder,solution for injection,powder,solution,[],['injection']
Sterile Powder For Injection (I.M/I.V.),sterile powder for injection im iv,sterile powder,injection im iv,powder,,"['im', 'iv']",['injection']
Solution For Nasal Drops,solution for nasal drops,solution,nasal drops,solution,drops,['nasal'],[]
Sterile Powder For Injection (Im/ Iv),sterile powder for injection im iv,sterile powder,injection im iv,powder,,"['im', 'iv']",['injection']
Per Actuation Metered Dose Inhaler,per actuation metered dose inhaler,per actuation metered dose inhaler,,inhaler,,[],[]
Syrup (Cherrry flavor),syrup cherrry flavor,syrup cherrry flavor,,syrup,,[],[]
Powder for Oral Suspension (Oral Drops),powder for oral suspension oral drops,powder,oral suspension oral drops,powder,suspension,['oral'],['suspension']
Sustained Released Tablet,sustained released tablet,sustained released tablet,,tablet,,[],[]
Solution  for Injection (I.M./I.V.),solution for injection im iv,solution,injection im iv,solution,,"['im', 'iv']",['injection']
Ophthalmic/Otic Solution,ophthalmic otic solution,ophthalmic otic solution,,solution,,[],[]
Solution For Intravenous Infusion For Injection,solution for intravenous infusion for injection,solution,intravenous infusion for injection,solution,,['intravenous'],"['injection', 'infusion']"
Solution For Intravenous For Injection,solution for intravenous for injection,solution,intravenous for injection,solution,,['intravenous'],['injection']
Solution for Intravenous Infusion for Injection,solution for intravenous infusion for injection,solution,intravenous infusion for injection,solution,,['intravenous'],"['injection', 'infusion']"
Solution for Itravenous Infusion for Injection,solution for itravenous infusion for injection,solution,itravenous infusion for injection,solution,,[],"['injection', 'infusion']"
Powder for Injetion IM / IV,powder for injetion im iv,powder,injetion im iv,powder,,"['im', 'iv']",[]
Adult Solution,adult solution,adult solution,,solution,,[],[]
Powder for Injection (I.M. /I.V.),powder for injection im iv,powder,injection im iv,powder,,"['im', 'iv']",['injection']
"Syrup (Sugar-Free, Orange Flavor)",syrup sugar-free orange flavor,syrup sugar-free orange flavor,,syrup,,[],[]
Enteric Coated-Tablet,enteric coated-tablet,enteric coated-tablet,,tablet,,[],[]
Sugar-Caoted Tablet,sugar-caoted tablet,sugar-caoted tablet,,tablet,,[],[]
Solution for Iv Injection (IV Infusion),solution for iv injection iv infusion,solution,iv injection iv infusion,solution,,['iv'],"['injection', 'infusion']"
Glass Infusion Bottle,glass infusion bottle,glass infusion bottle,,,,[],[]
Lyopjilized Powder For Injection Intravenous Injection,lyopjilized powder for injection intravenous injection,lyopjilized powder,injection intravenous injection,powder,,['intravenous'],['injection']
Solution for Inejction,solution for inejction,solution,inejction,solution,,[],[]
Solutionf Or Injection (Im/Iv),solutionf or injection im iv,solutionf or injection im iv,,,,[],[]
Powder For Injection I.M./I.V.),powder for injection im iv,powder,injection im iv,powder,,"['im', 'iv']",['injection']
(See formulation at the back),see formulation at the back,see formulation at the back,,,,[],[]
Powder For Injection(IV),powder for injectioniv,powder,injectioniv,powder,,[],[]
Suspension (Honeydew Melon Flavor),suspension honeydew melon flavor,suspension honeydew melon flavor,,suspension,,[],[]
Film-caoted Tablet,film-caoted tablet,film-caoted tablet,,tablet,,[],[]
Solution for Injection (I.M/I.V.0),solution for injection im iv,solution,injection im iv,solution,,"['im', 'iv']",['injection']
Solution for Injection (I.M/I.V.),solution for injection im iv,solution,injection im iv,solution,,"['im', 'iv']",['injection']
Solution for Injection (I.M./Slow I.V.),solution for injection im slow iv,solution,injection im slow iv,solution,,"['im', 'iv']",['injection']
"Solution for Injection 
(I.V./I.M./Slow I.V. Infusion)",solution for injection iv im slow iv infusion,solution,injection iv im slow iv infusion,solution,,"['im', 'iv']","['injection', 'infusion']"
Extended-Release Tablet (Equivalent to Divalproex Sodium),extended-release tablet equivalent to divalproex sodium,extended-release tablet equivalent to divalproex sodium,,tablet,,[],[]
Solution For Injection (Im/Iv/Intrathecal),solution for injection im iv intrathecal,solution,injection im iv intrathecal,solution,,"['im', 'intrathecal', 'iv']",['injection']
Solution For Injection (IM/IV/Intrathecal),solution for injection im iv intrathecal,solution,injection im iv intrathecal,solution,,"['im', 'intrathecal', 'iv']",['injection']
Solution for nebulization,solution for nebulization,solution,nebulization,solution,,[],['nebulization']
Solution For Intramuscular Injrction,solution for intramuscular injrction,solution,intramuscular injrction,solution,,['intramuscular'],[]
IV Infusion,iv infusion,iv infusion,,,,[],[]
I.V. Infusion,iv infusion,iv infusion,,,,[],[]
Solution for Injection (Iv Infusion),solution for injection iv infusion,solution,injection iv infusion,solution,,['iv'],"['injection', 'infusion']"
Solution For Injection IM / IV,solution for injection im iv,solution,injection im iv,solution,,"['im', 'iv']",['injection']
Solution For Injection Iv,solution for injection iv,solution,injection iv,solution,,['iv'],['injection']
Injection for Injection (Iv),injection for injection iv,injection,injection iv,,,['iv'],['injection']
Solution for Spinal Injection,solution for spinal injection,solution,spinal injection,solution,,['spinal'],['injection']
Capsule (Enteric-Coated Pellets),capsule enteric-coated pellets,capsule enteric-coated pellets,,capsule,,[],[]
Solution For Injectin (IV Infusion),solution for injectin iv infusion,solution,injectin iv infusion,solution,,['iv'],['infusion']
Solution for Infusion (IV. Infusion),solution for infusion iv infusion,solution,infusion iv infusion,solution,,['iv'],['infusion']
Solution For Infusion (I.V. Infusion),solution for infusion iv infusion,solution,infusion iv infusion,solution,,['iv'],['infusion']
Solution for Injection (iv),solution for injection iv,solution,injection iv,solution,,['iv'],['injection']
Powder For Injection (IMIV),powder for injection imiv,powder,injection imiv,powder,,[],['injection']
Solutin For Injection,solutin for injection,solutin,injection,,,[],['injection']
Powder For (IV),powder for iv,powder,iv,powder,,['iv'],[]
"Solution for Injection 
(for Dental Infiltration)",solution for injection for dental infiltration,solution,injection for dental infiltration,solution,,['dental'],['injection']
"Lyophilized Powder For Injection
(I.V.)",lyophilized powder for injection iv,lyophilized powder,injection iv,powder,,['iv'],['injection']
Powder For Injection (Im / Iv),powder for injection im iv,powder,injection im iv,powder,,"['im', 'iv']",['injection']
Film Cated Tablet,film cated tablet,film cated tablet,,tablet,,[],[]
Suspension For Oral Drops,suspension for oral drops,suspension,oral drops,suspension,drops,['oral'],[]
Suspension for Oral Drops,suspension for oral drops,suspension,oral drops,suspension,drops,['oral'],[]
Solution For Intravenous Injection (IV),solution for intravenous injection iv,solution,intravenous injection iv,solution,,"['intravenous', 'iv']",['injection']
Oral Suspension (Alcohol-Free),oral suspension alcohol-free,oral suspension alcohol-free,,suspension,,[],[]
Powder for Injection for Intravenous Infusion,powder for injection for intravenous infusion,powder,injection for intravenous infusion,powder,,['intravenous'],"['injection', 'infusion']"
Sol'N For Topical Aerosol Spray,soln for topical aerosol spray,soln,topical aerosol spray,soln,aerosol,['topical'],[]
Powder For Suspension (Cherry Flavor),powder for suspension cherry flavor,powder,suspension cherry flavor,powder,suspension,[],['suspension']
Suspesnion,suspesnion,suspesnion,,,,[],[]
Solution For Injection (IM/IV/SC) or Infusion (IV),solution for injection im iv sc or infusion iv,solution,injection im iv sc or infusion iv,solution,,"['im', 'sc', 'iv']","['injection', 'infusion']"
Modified Release Film Coated Tablet,modified release film coated tablet,modified release film coated tablet,,tablet,,[],[]
Lyophilizedpowder For Intravenous Infusion,lyophilizedpowder for intravenous infusion,lyophilizedpowder,intravenous infusion,,,['intravenous'],['infusion']
Extended Release Film Coated Tablet,extended release film coated tablet,extended release film coated tablet,,tablet,,[],[]
Film- Coated Tblet,film- coated tblet,film- coated tblet,,,,[],[]
Solution For injection (Iv Infusion),solution for injection iv infusion,solution,injection iv infusion,solution,,['iv'],"['injection', 'infusion']"
Metered Dose Inhaler (CFC Free),metered dose inhaler cfc free,metered dose inhaler cfc free,,inhaler,,[],[]
Sulotion for IV Infusion,sulotion for iv infusion,sulotion,iv infusion,,,['iv'],['infusion']
Orodispersible tablet,orodispersible tablet,orodispersible tablet,,tablet,,[],[]
Oral Suspension (Drops),oral suspension drops,oral suspension drops,,suspension,,[],[]
Lyophilized Powder For Injection (Iv/Im/Sc),lyophilized powder for injection iv im sc,lyophilized powder,injection iv im sc,powder,,"['im', 'sc', 'iv']",['injection']
Solution For Injection (IV/IV Infusion),solution for injection iv iv infusion,solution,injection iv iv infusion,solution,,['iv'],"['injection', 'infusion']"
Solution For Injection (Iv/Iv Infusion),solution for injection iv iv infusion,solution,injection iv iv infusion,solution,,['iv'],"['injection', 'infusion']"
Corticosteroid,corticosteroid,corticosteroid,,,,[],[]
SOLUTION FOR I.V INFUSION,solution for iv infusion,solution,iv infusion,solution,,['iv'],['infusion']
Powder For Injection  (IM/IV),powder for injection im iv,powder,injection im iv,powder,,"['im', 'iv']",['injection']
Delayed Released Capsule,delayed released capsule,delayed released capsule,,capsule,,[],[]
Powder For Injection( Iv),powder for injection iv,powder,injection iv,powder,,['iv'],['injection']
Granules for suspension (Oral Drops),granules for suspension oral drops,granules,suspension oral drops,granules,suspension,['oral'],['suspension']
Granules for Suspension (Oral drops),granules for suspension oral drops,granules,suspension oral drops,granules,suspension,['oral'],['suspension']
Concentrated Solution For Inj. (IV Infusion),concentrated solution for inj iv infusion,concentrated solution,inj iv infusion,solution,,['iv'],"['inj', 'infusion']"
Concentrated Solution For I.V Infusion,concentrated solution for iv infusion,concentrated solution,iv infusion,solution,,['iv'],['infusion']
"Suspension (Oral Drops, Lemon Flavor)",suspension oral drops lemon flavor,suspension oral drops lemon flavor,,suspension,,[],[]
Suspension (Oral Drops) ( Lemon Flavor),suspension oral drops lemon flavor,suspension oral drops lemon flavor,,suspension,,[],[]
Suspension (Oral Drops) (Lemon Flavor),suspension oral drops lemon flavor,suspension oral drops lemon flavor,,suspension,,[],[]
ORODISPERSIBLE TABLET,orodispersible tablet,orodispersible tablet,,tablet,,[],[]
Lyophilized Powder for Injection(IM/IV),lyophilized powder for injectionim iv,lyophilized powder,injectionim iv,powder,,['iv'],[]
solution for injection (submucosal),solution for injection submucosal,solution,injection submucosal,solution,,['submucosal'],['injection']
Solution For Intravenous Iv Infusion,solution for intravenous iv infusion,solution,intravenous iv infusion,solution,,"['intravenous', 'iv']",['infusion']
Lyophilized Powder fro Injection,lyophilized powder fro injection,lyophilized powder fro injection,,powder,,[],[]
Capsule (equivalent to 250 mg Ferrous Sulfate),capsule equivalent to mg ferrous sulfate,capsule equivalent to mg ferrous sulfate,,capsule,,[],[]
Lyophilized Powder For IV Injection/Infusion,lyophilized powder for iv injection infusion,lyophilized powder,iv injection infusion,powder,,['iv'],"['injection', 'infusion']"
Emulsion For Injection (IV),emulsion for injection iv,emulsion,injection iv,emulsion,,['iv'],['injection']
Powder For Injection(Im/Iv),powder for injectionim iv,powder,injectionim iv,powder,,['iv'],[]
Syrup (Menthol Flavor),syrup menthol flavor,syrup menthol flavor,,syrup,,[],[]
Powder For Solution For Injection (I.V.),powder for solution for injection iv,powder,solution for injection iv,powder,solution,['iv'],['injection']
Delayed-Release capsule,delayed-release capsule,delayed-release capsule,,capsule,,[],[]
Sterile Opthalmic Solution (Drops),sterile opthalmic solution drops,sterile opthalmic solution drops,,solution,,[],[]
Powder For Solution For Injection (Iv Infusion),powder for solution for injection iv infusion,powder,solution for injection iv infusion,powder,solution,['iv'],"['injection', 'infusion']"
Powder For Solution For Injection (I.M./ I.V.),powder for solution for injection im iv,powder,solution for injection im iv,powder,solution,"['im', 'iv']",['injection']
Powder for Solution for Injection (I.V./I.M.),powder for solution for injection iv im,powder,solution for injection iv im,powder,solution,"['im', 'iv']",['injection']
"Solution For Injection (Im, Iv)",solution for injection im iv,solution,injection im iv,solution,,"['im', 'iv']",['injection']
Lyophilized Powder For Injection (Im/Iv/Sc),lyophilized powder for injection im iv sc,lyophilized powder,injection im iv sc,powder,,"['im', 'sc', 'iv']",['injection']
Powder For Solution for Intravenous Infusion,powder for solution for intravenous infusion,powder,solution for intravenous infusion,powder,solution,['intravenous'],['infusion']
sYrup,syrup,syrup,,syrup,,[],[]
Solution For Injection (iv),solution for injection iv,solution,injection iv,solution,,['iv'],['injection']
Powder For Solution For Injection Iv),powder for solution for injection iv,powder,solution for injection iv,powder,solution,['iv'],['injection']
Powder for Solution for IV Injection,powder for solution for iv injection,powder,solution for iv injection,powder,solution,['iv'],['injection']
Syrpu,syrpu,syrpu,,,,[],[]
Powder For Infusion (IV),powder for infusion iv,powder,infusion iv,powder,,['iv'],['infusion']
Lyophilized Powder for Inj,lyophilized powder for inj,lyophilized powder,inj,powder,,[],['inj']
Powder For Injection IV,powder for injection iv,powder,injection iv,powder,,['iv'],['injection']
Solution For Injection(I.V),solution for injectioniv,solution,injectioniv,solution,,[],[]
Oral Suspension (Raspberry flavor),oral suspension raspberry flavor,oral suspension raspberry flavor,,suspension,,[],[]
Sustained- Released Tablet,sustained- released tablet,sustained- released tablet,,tablet,,[],[]
Solution For Injection (IV/SC/IT),solution for injection iv sc it,solution,injection iv sc it,solution,,"['sc', 'iv']",['injection']
Lyophilized Powder for I.V Infusion,lyophilized powder for iv infusion,lyophilized powder,iv infusion,powder,,['iv'],['infusion']
Powder for solution for injection (IV),powder for solution for injection iv,powder,solution for injection iv,powder,solution,['iv'],['injection']
Powder for Solution Injection (IV),powder for solution injection iv,powder,solution injection iv,powder,solution,['iv'],['injection']
Powder For Solution for Injection (IV),powder for solution for injection iv,powder,solution for injection iv,powder,solution,['iv'],['injection']
Powder For Soultion for Injection (IV),powder for soultion for injection iv,powder,soultion for injection iv,powder,,['iv'],['injection']
Lyophylized Powder For Injection (IV Infusion),lyophylized powder for injection iv infusion,lyophylized powder,injection iv infusion,powder,,['iv'],"['injection', 'infusion']"
Powder for I.V. Injection/Infusion,powder for iv injection infusion,powder,iv injection infusion,powder,,['iv'],"['injection', 'infusion']"
Delayed-release Capsule,delayed-release capsule,delayed-release capsule,,capsule,,[],[]
Solution For Injection (Im/Iv/Intra-Arterial/Intrathecal),solution for injection im iv intra-arterial intrathecal,solution,injection im iv intra-arterial intrathecal,solution,,"['iv', 'intra-arterial', 'im', 'intrathecal', 'arterial']",['injection']
Solution for Diluent use only,solution for diluent use only,solution,diluent use only,solution,,['diluent'],[]
Solution For Diluent Use Only,solution for diluent use only,solution,diluent use only,solution,,['diluent'],[]
Suspension (Oral Drops) Banana Flavor,suspension oral drops banana flavor,suspension oral drops banana flavor,,suspension,,[],[]
Lozenge (Mint Flavor),lozenge mint flavor,lozenge mint flavor,,lozenge,,[],[]
Lyophilized Powder For IV Injection,lyophilized powder for iv injection,lyophilized powder,iv injection,powder,,['iv'],['injection']
SUSTAINED RELEASE TABLET,sustained release tablet,sustained release tablet,,tablet,,[],[]
Powder For Solution For Intravenous Injection,powder for solution for intravenous injection,powder,solution for intravenous injection,powder,solution,['intravenous'],['injection']
Powder for Inhalation in Capsule,powder for inhalation in capsule,powder,inhalation in capsule,powder,capsule,[],['inhalation']
Solution for Topical Spray,solution for topical spray,solution,topical spray,solution,spray,['topical'],[]
Granules For Oral Suspension (Orange Flavor),granules for oral suspension orange flavor,granules,oral suspension orange flavor,granules,suspension,['oral'],['suspension']
Granules For Suspension ( Orange Flavor),granules for suspension orange flavor,granules,suspension orange flavor,granules,suspension,[],['suspension']
Solution for Injection (IV. Infusion),solution for injection iv infusion,solution,injection iv infusion,solution,,['iv'],"['injection', 'infusion']"
Powder for IV Injection/Infusion,powder for iv injection infusion,powder,iv injection infusion,powder,,['iv'],"['injection', 'infusion']"
Powder For Iv Injection/Infusion,powder for iv injection infusion,powder,iv injection infusion,powder,,['iv'],"['injection', 'infusion']"
Powder For Iv Injection/ Infusion,powder for iv injection infusion,powder,iv injection infusion,powder,,['iv'],"['injection', 'infusion']"
"Suspension for 
Nasal Spray",suspension for nasal spray,suspension,nasal spray,suspension,spray,['nasal'],[]
Suspension Of Nasal Spray,suspension of nasal spray,suspension of nasal spray,,suspension,,[],[]
Emulsion For (Iv) Infusion,emulsion for iv infusion,emulsion,iv infusion,emulsion,,['iv'],['infusion']
Lyophilized Powder for Injection (I.M./S.C. Use Only for Once a Month),lyophilized powder for injection im sc use only for once a month,lyophilized powder,injection im sc use only for once a month,powder,,"['im', 'sc']",['injection']
Lyophilized Powder for Injection (IM/SC Use Only for Once a Month),lyophilized powder for injection im sc use only for once a month,lyophilized powder,injection im sc use only for once a month,powder,,"['im', 'sc']",['injection']
Lyophilized Powder For Injection (IM/SC Use only for once a Month),lyophilized powder for injection im sc use only for once a month,lyophilized powder,injection im sc use only for once a month,powder,,"['im', 'sc']",['injection']
Suspension fo Nebulization,suspension fo nebulization,suspension fo nebulization,,suspension,,[],[]
Enteric-coated Tablet,enteric-coated tablet,enteric-coated tablet,,tablet,,[],[]
Granuels For Suspension,granuels for suspension,granuels,suspension,,suspension,[],['suspension']
Lyophilized Powder for Injection (IV/IM),lyophilized powder for injection iv im,lyophilized powder,injection iv im,powder,,"['im', 'iv']",['injection']
Actuation Metered Dose Inhaler (CFC Free),actuation metered dose inhaler cfc free,actuation metered dose inhaler cfc free,,inhaler,,[],[]
Concentarted Solution for I.V Infusion,concentarted solution for iv infusion,concentarted solution,iv infusion,solution,,['iv'],['infusion']
Concentrate for IV Infusion,concentrate for iv infusion,concentrate,iv infusion,concentrate,,['iv'],['infusion']
Powder For Injection (I.V./I..M.),powder for injection iv im,powder,injection iv im,powder,,"['im', 'iv']",['injection']
Oral Solution Drops,oral solution drops,oral solution drops,,solution,,[],[]
Dry Powder Inhalation in Capsule,dry powder inhalation in capsule,dry powder inhalation in capsule,,powder,,[],[]
Delayed-Released Tablet,delayed-released tablet,delayed-released tablet,,tablet,,[],[]
Powder for Suspention,powder for suspention,powder,suspention,powder,,[],[]
Solution for Injection (Iv),solution for injection iv,solution,injection iv,solution,,['iv'],['injection']
Powder For Suspension (Oral Drops) (Strawberry Flavor),powder for suspension oral drops strawberry flavor,powder,suspension oral drops strawberry flavor,powder,suspension,['oral'],['suspension']
Powder For Solution For IV Infusion,powder for solution for iv infusion,powder,solution for iv infusion,powder,solution,['iv'],['infusion']
Powder for Injrrction (I.M. / I.V.),powder for injrrction im iv,powder,injrrction im iv,powder,,"['im', 'iv']",[]
Pegylated Liposomal Concentrated Solution For I.V. Infusion,pegylated liposomal concentrated solution for iv infusion,pegylated liposomal concentrated solution,iv infusion,solution,,['iv'],['infusion']
"Ophthalmic 
Solution (Eye Drops)",ophthalmic solution eye drops,ophthalmic solution eye drops,,solution,,[],[]
Solution For Injecton (Iv),solution for injecton iv,solution,injecton iv,solution,,['iv'],[]
Nasal Solution (spray),nasal solution spray,nasal solution spray,,solution,,[],[]
Syrup (Cola Flavor),syrup cola flavor,syrup cola flavor,,syrup,,[],[]
Gfs,gfs,gfs,,,,[],[]
Lyophilized Powder For Injecion,lyophilized powder for injecion,lyophilized powder,injecion,powder,,[],[]
Film Coated  Tablet,film coated tablet,film coated tablet,,tablet,,[],[]
Each sugar-coated tablet contains: Thiamine Mononitrate (Vitamin B1) 300 mg Riboflavin (Vitamin B2) 30 mg Nicotinic Acid (Vitamin B3) 25 mg Pyridoxine HCl (Vitamin B6) 100 mg Cyanocobalamin (Vitamin B12),each sugar-coated tablet contains thiamine mononitrate vitamin b mg riboflavin vitamin b mg nicotinic acid vitamin b mg pyridoxine hcl vitamin b mg cyanocobalamin vitamin b,each sugar-coated tablet contains thiamine mononitrate vitamin b mg riboflavin vitamin b mg nicotinic acid vitamin b mg pyridoxine hcl vitamin b mg cyanocobalamin vitamin b,,tablet,,[],[]
Each sugar-coated tablet contains: Thiamine Mononitrate (Vitamin B1) Pyridoxine HCl (Vitamin B6) Riboflavin (Vitamin B2) Nicotinic Acid (Vitamin B3) Cyanocobalamin (Vitamin B12),each sugar-coated tablet contains thiamine mononitrate vitamin b pyridoxine hcl vitamin b riboflavin vitamin b nicotinic acid vitamin b cyanocobalamin vitamin b,each sugar-coated tablet contains thiamine mononitrate vitamin b pyridoxine hcl vitamin b riboflavin vitamin b nicotinic acid vitamin b cyanocobalamin vitamin b,,tablet,,[],[]
Ophthalmic / Otic Solution,ophthalmic otic solution,ophthalmic otic solution,,solution,,[],[]
Ophthalmic/ Otic Solution,ophthalmic otic solution,ophthalmic otic solution,,solution,,[],[]
Oral Suspension (Oral Drops),oral suspension oral drops,oral suspension oral drops,,suspension,,[],[]
Topical gel,topical gel,topical gel,,gel,,[],[]
Powder for Solution fo Injection (IV/SC),powder for solution fo injection iv sc,powder,solution fo injection iv sc,powder,solution,"['sc', 'iv']",['injection']
Ophthalmic Solution Drops,ophthalmic solution drops,ophthalmic solution drops,,solution,,[],[]
per ml Solution for injection,per ml solution for injection,per ml solution,injection,solution,,[],['injection']
Powder for Infection (IV),powder for infection iv,powder,infection iv,powder,,['iv'],[]
Powder for Solution,powder for solution,powder,solution,powder,solution,[],[]
sachet Suspension,sachet suspension,sachet suspension,,sachet,,[],[]
Powder For Injection (I.V. Infusion),powder for injection iv infusion,powder,injection iv infusion,powder,,['iv'],"['injection', 'infusion']"
Lyophilized Powder For Injection (For IV Infusion),lyophilized powder for injection for iv infusion,lyophilized powder,injection for iv infusion,powder,,['iv'],"['injection', 'infusion']"
Lyophilized Powder for Injection (for IV Infusion),lyophilized powder for injection for iv infusion,lyophilized powder,injection for iv infusion,powder,,['iv'],"['injection', 'infusion']"
Solution For Injection (Intramuscular Only),solution for injection intramuscular only,solution,injection intramuscular only,solution,,['intramuscular'],['injection']
Solution For Injection (Intramasucular Only),solution for injection intramasucular only,solution,injection intramasucular only,solution,,['intramasucular'],['injection']
Lyophilized Powder for solution for IV Infusion,lyophilized powder for solution for iv infusion,lyophilized powder,solution for iv infusion,powder,solution,['iv'],['infusion']
Concetrate Solution For Intravenous Infusion,concetrate solution for intravenous infusion,concetrate solution,intravenous infusion,solution,,['intravenous'],['infusion']
Fil-Coated Tablet,fil-coated tablet,fil-coated tablet,,tablet,,[],[]
Lyophilized Powder For  Injection (IV),lyophilized powder for injection iv,lyophilized powder,injection iv,powder,,['iv'],['injection']
Long Acting Film-Coated Tablet,long acting film-coated tablet,long acting film-coated tablet,,tablet,,[],[]
Sachet Herbal Tea,sachet herbal tea,sachet herbal tea,,sachet,,[],[]
Iv/Im,iv im,iv im,,,,[],[]
Pastille,pastille,pastille,,pastille,,[],[]
Solution for Injection IM/IV,solution for injection im iv,solution,injection im iv,solution,,"['im', 'iv']",['injection']
